Dataset S1A. Results for the 484 differentially expressed genes (DEGs) between all control and heated corals regardless of population. FoldChange is calculated as the ratio of Heated/Control expression. Full annotation information can be found in the full supporting annotationfile at http://palumbilab.stanford.edu/data.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Ourcontigname,topnrMatch,topnrEvalue,Uniprotmatch,evalue,Uniprot Description,HGNC_Name,foldChange,p-value,q-value
contig148067,No_sig_nr_hit,No_sig_nr_hit,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,5.96,5.58E-07,6.90E-05
contig215871,No_sig_nr_hit,No_sig_nr_hit,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,5.86,1.20E-06,1.29E-04
contig22527_87711_98734_175004_111096_100122,PREDICTED: neurogenic locus notch homolog protein 2-like [Saccoglossus kowalevskii],3.85E-178,P0C6B8,9.00E-157,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1",No_HGNC_match,5.72,4.66E-12,3.68E-09
contig163628,PREDICTED: similar to predicted protein [Hydra magnipapillata],3.40E-09,C3Y1J4,4.00E-07,Putative uncharacterized protein,No_HGNC_match,5.62,1.75E-05,1.22E-03
contig147815,predicted protein [Nematostella vectensis] gi|156219623|gb|EDO40502.1| predicted protein [Nematostella vectensis],4.69E-20,Q8BX35,3.00E-06,Tumor necrosis factor receptor superfamily member 27,No_HGNC_match,5.35,1.14E-10,4.88E-08
contig77727,predicted protein [Nematostella vectensis] gi|156226147|gb|EDO46959.1| predicted protein [Nematostella vectensis],0,Q8IZP9,2.00E-50,G-protein coupled receptor 64,G protein-coupled receptor 64,5.24,3.10E-09,8.61E-07
contig169552,predicted protein [Nematostella vectensis] gi|156210850|gb|EDO31996.1| predicted protein [Nematostella vectensis],1.65E-22,Q6EUW2,5.00E-20,Forkhead box protein O1,No_HGNC_match,5.24,5.02E-12,3.68E-09
contig152125_210541,predicted protein [Nematostella vectensis] gi|156228318|gb|EDO49117.1| predicted protein [Nematostella vectensis],1.74E-68,Q5ZJN2,5.00E-62,Ras-related protein Rab-11A,No_HGNC_match,5.21,1.14E-12,1.30E-09
contig132286,PREDICTED: polyprotein-like [Saccoglossus kowalevskii],2.05E-17,Q8I7P9,6.00E-11,Retrovirus-related Pol polyprotein from transposon opus,No_HGNC_match,5.20,1.06E-05,7.91E-04
contig145229,PREDICTED: putative porin-like [Saccoglossus kowalevskii],7.87E-35,Q8IUB2,1.00E-15,WAP four-disulfide core domain protein 3,WAP four-disulfide core domain 3,5.19,6.60E-10,2.34E-07
contig8577_140623,predicted protein [Nematostella vectensis] gi|156222150|gb|EDO42997.1| predicted protein [Nematostella vectensis],7.86E-59,Q8BQH6,2.00E-44,CUB domain-containing protein 2,No_HGNC_match,5.13,8.62E-08,1.48E-05
contig152025,predicted protein [Nematostella vectensis] gi|156223535|gb|EDO44369.1| predicted protein [Nematostella vectensis],3.51E-75,Q9HAR2,1.00E-58,Latrophilin-3,latrophilin 3,5.09,1.18E-08,2.69E-06
contig117987_182302,No_sig_nr_hit,No_sig_nr_hit,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,5.06,1.11E-04,5.27E-03
contig183427,predicted protein [Nematostella vectensis] gi|156223673|gb|EDO44506.1| predicted protein [Nematostella vectensis],2.42E-134,D8PAU6,1.00E-06,Putative uncharacterized protein,No_HGNC_match,5.02,3.93E-10,1.49E-07
contig74800_140085,predicted protein [Nematostella vectensis] gi|156214369|gb|EDO35359.1| predicted protein [Nematostella vectensis],5.02E-33,C3ZBW7,1.00E-15,Putative uncharacterized protein,No_HGNC_match,4.95,6.25E-11,2.92E-08
contig150312_171941_143476,predicted protein [Nematostella vectensis] gi|156223536|gb|EDO44370.1| predicted protein [Nematostella vectensis],1.59E-129,Q9UNQ2,1.00E-114,Probable dimethyladenosine transferase,DIM1 dimethyladenosine transferase 1 homolog (S. cerevisiae),4.92,9.75E-08,1.59E-05
contig140774_54258_205078,hypothetical protein NEMVEDRAFT_v1g176175 [Nematostella vectensis] gi|156208881|gb|EDO30263.1| predicted protein [Nematostella vectensis],8.03E-138,Q29496,2.00E-89,Cytochrome P450 3A24,No_HGNC_match,4.91,2.55E-11,1.45E-08
contig115890_205214,predicted protein [Nematostella vectensis] gi|156223535|gb|EDO44369.1| predicted protein [Nematostella vectensis],3.51E-75,Q9HAR2,1.00E-58,Latrophilin-3,latrophilin 3,4.91,6.93E-06,5.47E-04
contig180735,No_sig_nr_hit,No_sig_nr_hit,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,4.90,1.83E-08,3.83E-06
contig177227_183374_183521,PREDICTED: hypothetical protein [Saccoglossus kowalevskii],4.73E-77,O28550,5.00E-09,Uncharacterized protein AF_1724,No_HGNC_match,4.86,1.45E-08,3.24E-06
contig66895,No_sig_nr_hit,No_sig_nr_hit,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,4.83,2.53E-05,1.63E-03
contig182161,No_sig_nr_hit,No_sig_nr_hit,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,4.82,8.27E-04,2.42E-02
contig152163,PREDICTED: hypothetical protein LOC100492551 [Xenopus (Silurana) tropicalis],2.46E-23,F6YJX3,5.00E-19,Uncharacterized protein,No_HGNC_match,4.81,1.35E-06,1.42E-04
contig152243,"reverse transcriptase, putative [Pediculus humanus corporis] gi|212517262|gb|EEB19180.1| reverse transcriptase, putative [Pediculus humanus corporis]",1.92E-09,E0W0M4,2.00E-09,"Reverse transcriptase, putative",No_HGNC_match,4.75,2.65E-05,1.68E-03
contig151687,hypothetical protein BRAFLDRAFT_89832 [Branchiostoma floridae] gi|229295483|gb|EEN66130.1| hypothetical protein BRAFLDRAFT_89832 [Branchiostoma floridae],1.12E-50,Q5R9T9,1.00E-34,Guanylate-binding protein 6,No_HGNC_match,4.74,1.28E-04,5.89E-03
contig208887_160928_119892,predicted protein [Nematostella vectensis] gi|156226167|gb|EDO46979.1| predicted protein [Nematostella vectensis],1.09E-43,Q5VU97,2.00E-28,VWFA and cache domain-containing protein 1,cache domain containing 1,4.73,5.92E-07,7.24E-05
contig119224_216987,No_sig_nr_hit,No_sig_nr_hit,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,4.71,9.94E-07,1.11E-04
contig74260,predicted protein [Nematostella vectensis] gi|156214644|gb|EDO35626.1| predicted protein [Nematostella vectensis],2.03E-29,Q8C8R3,6.00E-13,Ankyrin-2,No_HGNC_match,4.71,4.91E-08,9.17E-06
contig147007,predicted protein [Nematostella vectensis] gi|156213126|gb|EDO34156.1| predicted protein [Nematostella vectensis],1.24E-60,P07949,7.00E-56,Proto-oncogene tyrosine-protein kinase receptor Ret,ret proto-oncogene,4.69,6.20E-07,7.48E-05
contig92386,"PREDICTED: protein tyrosine phosphatase, non-receptor type 4-like [Saccoglossus kowalevskii]",3.82E-44,D3ZDI6,9.00E-42,E3 ubiquitin-protein ligase MYLIP,No_HGNC_match,4.68,1.69E-04,7.28E-03
contig202444_149735_68940,PREDICTED: zinc finger protein 850-like [Anolis carolinensis],8.26E-52,Q99676,5.00E-47,Zinc finger protein 184,zinc finger protein 184,4.64,2.27E-10,9.33E-08
contig152086_121449,predicted protein [Nematostella vectensis] gi|156228462|gb|EDO49261.1| predicted protein [Nematostella vectensis],8.51E-33,Q9WTP3,3.00E-17,SAM pointed domain-containing Ets transcription factor,No_HGNC_match,4.61,4.96E-11,2.47E-08
contig148718,predicted protein [Nematostella vectensis] gi|156213126|gb|EDO34156.1| predicted protein [Nematostella vectensis],4.85E-43,P35546,2.00E-29,Proto-oncogene tyrosine-protein kinase receptor Ret,No_HGNC_match,4.58,2.03E-08,4.00E-06
contig189142,predicted protein [Nematostella vectensis] gi|156219918|gb|EDO40793.1| predicted protein [Nematostella vectensis],1.41E-38,Q21GL5,4.00E-07,Putative uncharacterized protein,No_HGNC_match,4.57,4.79E-05,2.70E-03
contig79087,predicted protein [Nematostella vectensis] gi|156217032|gb|EDO37956.1| predicted protein [Nematostella vectensis],1.19E-119,Q91VN6,3.00E-58,Probable ATP-dependent RNA helicase DDX41,No_HGNC_match,4.55,8.81E-11,3.93E-08
contig171048_211709,predicted protein [Nematostella vectensis] gi|156217949|gb|EDO38856.1| predicted protein [Nematostella vectensis],3.98E-16,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,4.55,2.46E-06,2.31E-04
contig191389,No_sig_nr_hit,No_sig_nr_hit,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,4.53,1.53E-06,1.54E-04
contig153411,hypothetical protein BRAFLDRAFT_227771 [Branchiostoma floridae] gi|229298275|gb|EEN68902.1| hypothetical protein BRAFLDRAFT_227771 [Branchiostoma floridae],5.09E-32,Q0WYX8,1.00E-27,MAM domain-containing glycosylphosphatidylinositol anchor protein 1,No_HGNC_match,4.53,5.99E-05,3.27E-03
contig182661,predicted protein [Nematostella vectensis] gi|156218532|gb|EDO39428.1| predicted protein [Nematostella vectensis],9.91E-15,Q03376,3.00E-11,Balbiani ring protein 3,No_HGNC_match,4.52,2.98E-06,2.66E-04
contig147984,fused NTPase and glycosyl transferase [Amycolatopsis mediterranei U32] gi|299795731|gb|ADJ46106.1| fused NTPase and glycosyltransferase [Amycolatopsis mediterranei U32],7.67E-26,B1VEI4,5.00E-10,D-inositol-3-phosphate glycosyltransferase,No_HGNC_match,4.45,8.38E-08,1.46E-05
contig176428,predicted protein [Nematostella vectensis] gi|156223736|gb|EDO44568.1| predicted protein [Nematostella vectensis],2.59E-12,A0FKN6,3.00E-07,Astacin-like metalloprotease toxin,No_HGNC_match,4.42,7.28E-09,1.74E-06
contig124917,predicted protein [Nematostella vectensis] gi|156217814|gb|EDO38723.1| predicted protein [Nematostella vectensis],1.50E-25,P29533,3.00E-16,Vascular cell adhesion protein 1,No_HGNC_match,4.35,7.23E-06,5.66E-04
contig600231,No_sig_nr_hit,No_sig_nr_hit,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,4.29,4.75E-09,1.19E-06
contig151001,predicted protein [Nematostella vectensis] gi|156223927|gb|EDO44757.1| predicted protein [Nematostella vectensis],4.40E-22,Q5RA50,7.00E-09,Protein FAM124A,No_HGNC_match,4.28,4.38E-08,8.33E-06
contig164124_75869,"calcium channel, voltage-dependent, L type, alpha 1C subunit, isoform CRA_g [Rattus norvegicus]",3.32E-06,Q96M20,8.00E-05,Uncharacterized protein C20orf152,cyclic nucleotide binding domain containing 2,4.27,7.16E-05,3.75E-03
contig168869_128203_183656_119014,predicted protein [Nematostella vectensis] gi|156209490|gb|EDO30764.1| predicted protein [Nematostella vectensis],8.84E-43,Q06003,5.00E-08,Protein goliath,No_HGNC_match,4.27,6.36E-09,1.55E-06
contig148446,predicted protein [Nematostella vectensis] gi|156216738|gb|EDO37668.1| predicted protein [Nematostella vectensis],1.26E-36,P21291,3.00E-33,Cysteine and glycine-rich protein 1,cysteine and glycine-rich protein 1,4.25,2.70E-06,2.47E-04
contig112484,PREDICTED: similar to LReO_3 [Strongylocentrotus purpuratus] gi|115924837|ref|XP_001189981.1| PREDICTED: similar to LReO_3 [Strongylocentrotus purpuratus],1.82E-44,P20825,9.00E-19,Retrovirus-related Pol polyprotein from transposon 297,No_HGNC_match,4.23,4.51E-04,1.59E-02
contig14041_149895,predicted protein [Nematostella vectensis] gi|156209482|gb|EDO30757.1| predicted protein [Nematostella vectensis],1.37E-90,Q66II5,8.00E-75,Probable proline racemase,No_HGNC_match,4.20,4.78E-04,1.65E-02
contig183530,hypothetical protein NEMVEDRAFT_v1g142236 [Nematostella vectensis] gi|156208622|gb|EDO30072.1| predicted protein [Nematostella vectensis],9.78E-53,Q9CPW0,8.00E-32,Contactin-associated protein-like 2,No_HGNC_match,4.18,5.97E-04,1.96E-02
contig187488,PREDICTED: heat shock 70kDa protein 8-like [Saccoglossus kowalevskii],2.12E-83,O97125,2.00E-78,Heat shock protein 68,No_HGNC_match,4.18,1.48E-06,1.51E-04
contig100302_114262_202031,PREDICTED: uncharacterized protein ENSP00000244321-like [Xenopus (Silurana) tropicalis],1.99E-06,E7EYF7,1.00E-05,Uncharacterized protein,No_HGNC_match,4.15,2.03E-07,2.92E-05
contig21534_18230_60132_170392_118690_141460_99833_108651_71134_138347,predicted protein [Nematostella vectensis] gi|156216003|gb|EDO36949.1| predicted protein [Nematostella vectensis],0,P96202,1.00E-164,Phthiocerol synthesis polyketide synthase type I PpsC,No_HGNC_match,4.15,5.18E-10,1.90E-07
contig145390_123740_152068,PREDICTED: similar to SH3 and PX domains 2B [Strongylocentrotus purpuratus] gi|115934765|ref|XP_001183696.1| PREDICTED: similar to SH3 and PX domains 2B [Strongylocentrotus purpuratus],4.31E-27,A2AAY5,2.00E-23,SH3 and PX domain-containing protein 2B,No_HGNC_match,4.08,1.48E-06,1.51E-04
contig176840_73113,predicted protein [Nematostella vectensis] gi|156217451|gb|EDO38367.1| predicted protein [Nematostella vectensis],8.79E-50,Q5R4F5,1.00E-31,Muscleblind-like protein 2,No_HGNC_match,4.07,1.44E-03,3.55E-02
contig206001,predicted protein [Nematostella vectensis] gi|156218688|gb|EDO39581.1| predicted protein [Nematostella vectensis],5.91E-28,A6NIX2,2.00E-14,Wilms tumor protein 1-interacting protein,Wilms tumor 1 interacting protein,4.04,6.57E-06,5.31E-04
contig147589,viral A-type inclusion protein repeat protein [Mycoplasma mycoides subsp. capri str. GM12] gi|256384568|gb|ACU79137.1| viral A-type inclusion protein repeat protein [Mycoplasma mycoides subsp. capri str. GM12] gi|296455259|gb|ADH21494.1| viral A-type inclusion protein repeat protein [synthetic Mycoplasma mycoides JCVI-syn1.0],9.00E-06,P50470,4.00E-06,Immunoglobulin G-binding protein H,No_HGNC_match,4.04,5.41E-04,1.80E-02
contig98618,PREDICTED: similar to SH3 and PX domains 2B [Strongylocentrotus purpuratus] gi|115934765|ref|XP_001183696.1| PREDICTED: similar to SH3 and PX domains 2B [Strongylocentrotus purpuratus],1.57E-54,Q5TCZ1,6.00E-49,SH3 and PX domain-containing protein 2A,SH3 and PX domains 2A,4.00,5.55E-05,3.08E-03
contig51424,predicted protein [Nematostella vectensis] gi|156228165|gb|EDO48965.1| predicted protein [Nematostella vectensis],3.94E-51,Q29RU2,7.00E-22,Oncoprotein-induced transcript 3 protein,No_HGNC_match,3.97,1.54E-07,2.32E-05
contig164196_151076_15361,predicted protein [Nematostella vectensis] gi|156225517|gb|EDO46334.1| predicted protein [Nematostella vectensis],1.87E-65,E3LM71,1.00E-41,Putative uncharacterized protein,No_HGNC_match,3.96,1.53E-03,3.68E-02
contig119310_211061,hemicentin-1 [Culex quinquefasciatus] gi|167864356|gb|EDS27739.1| hemicentin-1 [Culex quinquefasciatus],1.28E-21,Q96RW7,1.00E-20,Hemicentin-1,hemicentin 1,3.92,9.80E-04,2.73E-02
contig172456,PREDICTED: cytosolic phospholipase A2-like [Anolis carolinensis],6.72E-48,Q9TT38,3.00E-48,Cytosolic phospholipase A2,No_HGNC_match,3.90,3.10E-06,2.72E-04
contig148082,predicted protein [Nematostella vectensis] gi|156225092|gb|EDO45912.1| predicted protein [Nematostella vectensis],2.92E-48,Q923S9,2.00E-33,Ras-related protein Rab-30,No_HGNC_match,3.89,1.01E-03,2.78E-02
contig78542,No_sig_nr_hit,No_sig_nr_hit,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,3.89,1.55E-05,1.09E-03
contig145655,predicted protein [Nematostella vectensis] gi|156216661|gb|EDO37593.1| predicted protein [Nematostella vectensis],3.77E-20,E2BBK7,5.00E-09,Putative uncharacterized protein,No_HGNC_match,3.87,8.84E-08,1.48E-05
contig183476_177569_181896_214651,hypothetical protein NEMVEDRAFT_v1g248822 [Nematostella vectensis] gi|156203829|gb|EDO27760.1| predicted protein [Nematostella vectensis],2.45E-09,P13596,3.00E-05,Neural cell adhesion molecule 1,No_HGNC_match,3.83,7.24E-07,8.44E-05
contig117054,hypothetical protein BRAFLDRAFT_174863 [Branchiostoma floridae] gi|229296334|gb|EEN66975.1| hypothetical protein BRAFLDRAFT_174863 [Branchiostoma floridae],4.32E-12,A4K2W7,2.00E-08,WAP four-disulfide core domain protein 5,No_HGNC_match,3.82,4.78E-07,5.98E-05
contig210910,predicted protein [Nematostella vectensis] gi|156224180|gb|EDO45008.1| predicted protein [Nematostella vectensis],7.81E-55,Q8MQW8,7.00E-09,Protein sprint,No_HGNC_match,3.79,4.16E-05,2.49E-03
contig178292,hypothetical protein BRAFLDRAFT_199923 [Branchiostoma floridae] gi|229284624|gb|EEN55359.1| hypothetical protein BRAFLDRAFT_199923 [Branchiostoma floridae],1.24E-14,Q08830,2.00E-13,Fibrinogen-like protein 1,fibrinogen-like 1,3.78,4.65E-04,1.61E-02
contig25439_207007_158989_78049,No_sig_nr_hit,No_sig_nr_hit,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,3.78,3.98E-09,1.02E-06
contig153451,predicted protein [Nematostella vectensis] gi|156227984|gb|EDO48785.1| predicted protein [Nematostella vectensis],6.87E-106,Q9Z2B5,6.00E-52,Eukaryotic translation initiation factor 2-alpha kinase 3,No_HGNC_match,3.75,1.53E-04,6.82E-03
contig92662,hypothetical protein BRAFLDRAFT_66627 [Branchiostoma floridae] gi|229285404|gb|EEN56130.1| hypothetical protein BRAFLDRAFT_66627 [Branchiostoma floridae],0,Q9Z1Q9,0,Valyl-tRNA synthetase,No_HGNC_match,3.73,3.15E-04,1.16E-02
contig218790,No_sig_nr_hit,No_sig_nr_hit,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,3.73,7.48E-08,1.35E-05
contig204384_69966,predicted protein [Nematostella vectensis] gi|156226333|gb|EDO47143.1| predicted protein [Nematostella vectensis],9.35E-96,Q7T0T9,4.00E-85,Cytosolic phospholipase A2,No_HGNC_match,3.73,3.37E-09,9.09E-07
contig146633,No_sig_nr_hit,No_sig_nr_hit,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,3.72,4.64E-04,1.61E-02
contig210130_81208,predicted protein [Nematostella vectensis] gi|156220620|gb|EDO41486.1| predicted protein [Nematostella vectensis],3.03E-89,Q9D5L7,2.00E-73,SPRY domain-containing SOCS box protein 1,No_HGNC_match,3.71,1.23E-05,9.07E-04
contig219036,predicted protein [Nematostella vectensis] gi|156224202|gb|EDO45030.1| predicted protein [Nematostella vectensis],4.83E-93,C3ZH48,6.00E-73,Putative uncharacterized protein,No_HGNC_match,3.70,1.05E-04,5.04E-03
contig112463,"PREDICTED: similar to AI481105 protein, partial [Strongylocentrotus purpuratus]",3.54E-30,Q8R151,1.00E-22,NFX1-type zinc finger-containing protein 1,No_HGNC_match,3.69,1.64E-04,7.08E-03
contig79914,predicted protein [Nematostella vectensis] gi|156213457|gb|EDO34475.1| predicted protein [Nematostella vectensis],1.17E-66,Q0KIA2,3.00E-38,PP2C-like domain-containing protein CG9801,No_HGNC_match,3.67,5.20E-04,1.76E-02
contig207209,predicted protein [Nematostella vectensis] gi|156223536|gb|EDO44370.1| predicted protein [Nematostella vectensis],1.59E-129,Q9UNQ2,1.00E-114,Probable dimethyladenosine transferase,DIM1 dimethyladenosine transferase 1 homolog (S. cerevisiae),3.65,1.92E-04,7.92E-03
contig7520_171270_93307,predicted protein [Nematostella vectensis] gi|156218776|gb|EDO39668.1| predicted protein [Nematostella vectensis],2.71E-26,Q9U5M4,1.00E-17,Tropomyosin-2,No_HGNC_match,3.65,1.35E-05,9.84E-04
contig209263,predicted protein [Nematostella vectensis] gi|156226533|gb|EDO47342.1| predicted protein [Nematostella vectensis],8.55E-40,P38529,2.00E-21,Heat shock factor protein 1,No_HGNC_match,3.64,1.76E-05,1.22E-03
contig205447,No_sig_nr_hit,No_sig_nr_hit,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,3.63,1.12E-04,5.29E-03
contig171850,predicted protein [Nematostella vectensis] gi|156215510|gb|EDO36468.1| predicted protein [Nematostella vectensis],7.13E-20,Q28ET4,3.00E-09,Homeobox protein vent1,No_HGNC_match,3.63,2.13E-05,1.41E-03
contig79841_173655,predicted protein [Nematostella vectensis] gi|156208956|gb|EDO30319.1| predicted protein [Nematostella vectensis],3.02E-62,Q5RDF5,3.00E-31,Juxtaposed with another zinc finger protein 1,No_HGNC_match,3.59,1.49E-05,1.06E-03
contig11991,hypothetical protein TRIADDRAFT_49773 [Trichoplax adhaerens] gi|190589744|gb|EDV29766.1| hypothetical protein TRIADDRAFT_49773 [Trichoplax adhaerens],1.87E-97,Q5R5J1,9.00E-93,"Phosphoenolpyruvate carboxykinase, cytosolic [GTP]",No_HGNC_match,3.58,7.60E-05,3.90E-03
contig102770,hypothetical protein BRAFLDRAFT_266560 [Branchiostoma floridae] gi|229298793|gb|EEN69417.1| hypothetical protein BRAFLDRAFT_266560 [Branchiostoma floridae],6.16E-41,P57059,9.00E-41,Serine/threonine-protein kinase SIK1,salt-inducible kinase 1,3.57,1.06E-03,2.89E-02
contig82675,predicted protein [Nematostella vectensis] gi|156226198|gb|EDO47009.1| predicted protein [Nematostella vectensis],5.04E-13,P16443,2.00E-11,D site-binding protein,No_HGNC_match,3.56,1.78E-04,7.51E-03
contig75250,predicted protein [Nematostella vectensis] gi|156215607|gb|EDO36563.1| predicted protein [Nematostella vectensis],8.80E-58,Q4TU93,1.00E-19,C-type mannose receptor 2,No_HGNC_match,3.51,7.76E-07,8.95E-05
contig146613,predicted protein [Nematostella vectensis] gi|156219834|gb|EDO40710.1| predicted protein [Nematostella vectensis],1.20E-143,P10860,9.00E-119,"Glutamate dehydrogenase 1, mitochondrial",No_HGNC_match,3.51,7.12E-05,3.75E-03
contig177355,predicted protein [Nematostella vectensis] gi|156219623|gb|EDO40502.1| predicted protein [Nematostella vectensis],5.30E-10,Q9ER62,1.00E-05,Tumor necrosis factor receptor superfamily member 22,No_HGNC_match,3.50,1.61E-04,7.06E-03
