Ourcontigname,AnnoOrigin,ContigName,ContigLength,topnrMatch,topnrEvalue,nobadwordnrMatch,nobadwordnrEvalue,Uniprotmatch,X._identity,evalue,ID,Description,KEGG,KEGGKO,GO,GOCC,GOBP,GOMF,Keywords,X,X.1,X.2,X.3,X.4,X.5,X.6,X.7,X.8,X.9,X.10,X.11,X.12,X.13,X.14
contig70368,33496_denovo,contig70368,944,hypothetical protein BRAFLDRAFT_117120 [Branchiostoma floridae] gi|229297018|gb|EEN67657.1| hypothetical protein BRAFLDRAFT_117120 [Branchiostoma floridae],4.14E-64,la-related protein 1 [Mus musculus],9.55E-61,Q6ZQ58,22.79,5.00E-62,LARP1_MOUSE,La-related protein 1,No_KEGG,No_KEGGKO,GO:0003723,No_GOBP,RNA binding (GO:0003723);,No_GOCC,Acetylation;Alternative splicing;Complete proteome;Phosphoprotein;Reference proteome;RNA-binding.;,,,,,,,,,,,,,,,
contig72292,adi_v1_predictedtranscripts,adi_v1.04020,3758,predicted protein [Nematostella vectensis] gi|156208946|gb|EDO30311.1| predicted protein [Nematostella vectensis],2.23E-48,novel protein (zgc:112068) [Danio rerio],1.51E-19,Q8VCE1,41.25,3.00E-18,DJC28_MOUSE,DnaJ homolog subfamily C member 28,mmu:246738,No_KEGGKO,GO:0031072,No_GOBP,heat shock protein binding (GO:0031072);,No_GOCC,Chaperone;Coiled coil;Complete proteome;Reference proteome.;,,,,,,,,,,,,,,,
contig75626,33496_denovo,contig75626,315,predicted protein [Nematostella vectensis] gi|156224368|gb|EDO45194.1| predicted protein [Nematostella vectensis],1.16E-25,"protein EMSY, putative [Ixodes scapularis] gi|215499195|gb|EEC08689.1| protein EMSY, putative [Ixodes scapularis]",3.51E-06,B7PQ17,59.09,4.00E-06,B7PQ17_IXOSC,"Protein EMSY, putative",isc:IscW_ISCW019096,No_KEGGKO,GO:0004402,No_GOBP,histone acetyltransferase activity (GO:0004402);,No_GOCC,Acyltransferase;Complete proteome;Reference proteome;Transferase.;,,,,,,,,,,,,,,,
contig76745,adi_v1_predictedtranscripts,adi_v1.11709,2176,predicted protein [Nematostella vectensis] gi|156211944|gb|EDO33027.1| predicted protein [Nematostella vectensis],4.27E-139,"chromosome 14 open reading frame 21, isoform CRA_b [Homo sapiens]",3.45E-64,Q86U38,29.23,2.00E-65,CN021_HUMAN,Pumilio domain-containing protein C14orf21,hsa:161424,K14790,GO:0003723,No_GOBP,RNA binding (GO:0003723);,No_GOCC,Complete proteome;Phosphoprotein;Polymorphism;Reference proteome;Repeat;RNA-binding.;,,,,,,,,,,,,,,,
contig77588,33496_denovo,contig77588,424,predicted protein [Nematostella vectensis] gi|156219006|gb|EDO39894.1| predicted protein [Nematostella vectensis],2.01E-57,EFCAB5 protein [Homo sapiens] gi|133777776|gb|AAI10610.1| EFCAB5 protein [Homo sapiens],5.15E-29,A4FU69,43.66,2.00E-30,EFCB5_HUMAN,EF-hand calcium-binding domain-containing protein 5,hsa:374786,No_KEGGKO,GO:0005509,No_GOBP,calcium ion binding (GO:0005509);,No_GOCC,Alternative splicing;Calcium;Complete proteome;Phosphoprotein;Polymorphism;Reference proteome.;,,,,,,,,,,,,,,,
contig79608,adi_v1_predictedtranscripts,adi_v1.15976,764,predicted protein [Nematostella vectensis] gi|156215607|gb|EDO36563.1| predicted protein [Nematostella vectensis],3.88E-13,TPA_inf: von Willebrand factor [Taeniopygia guttata],8.67E-05,Q642A6,31.16,5.00E-05,VWA1_RAT,von Willebrand factor A domain-containing protein 1,rno:298683,No_KEGGKO,GO:0005604,No_GOBP,No_GOMF,basement membrane (GO:0005604);,Basement membrane;Complete proteome;Disulfide bond;Extracellular matrix;Glycoprotein;Reference proteome;Repeat;Secreted;Signal.;,,,,,,,,,,,,,,,
contig82630,adi_v1_predictedtranscripts,adi_v1.01283,3849,predicted protein [Nematostella vectensis] gi|156216798|gb|EDO37727.1| predicted protein [Nematostella vectensis],1.24E-94,"calcyphosine 2, isoform CRA_d [Homo sapiens]",6.39E-75,Q8BUG5,36.08,4.00E-70,CAYP2_MOUSE,Calcyphosin-2,mmu:353025,No_KEGGKO,GO:0005509,No_GOBP,calcium ion binding (GO:0005509);,No_GOCC,Alternative splicing;Calcium;Complete proteome;Reference proteome;Repeat.;,,,,,,,,,,,,,,,
contig82991,33496_denovo,contig82991,512,predicted protein [Nematostella vectensis] gi|156219370|gb|EDO40253.1| predicted protein [Nematostella vectensis],8.12E-38,probable RNA-binding protein EIF1AD [Xenopus laevis] gi|82231599|sp|Q5HZM1.1|EIF1A_XENLA RecName: Full=Probable RNA-binding protein EIF1AD; AltName: Full=Eukaryotic translation initiation factor 1A domain-containing protein gi|57033141|gb|AAH88961.1| LOC496359 protein [Xenopus laevis],1.94E-31,Q0V9J5,64.71,7.00E-33,EIF1A_XENTR,Probable RNA-binding protein EIF1AD,xtr:549450,K15025,GO:0003743,No_GOBP,translation initiation factor activity (GO:0003743);,No_GOCC,Complete proteome;Reference proteome;RNA-binding.;,,,,,,,,,,,,,,,
contig83367,adi_v1_predictedtranscripts,adi_v1.13137,642,predicted protein [Nematostella vectensis] gi|156220449|gb|EDO41317.1| predicted protein [Nematostella vectensis],1.27E-39,putative accessory gland protein [Gryllus bimaculatus] gi|108742334|gb|ABG01803.1| putative accessory gland protein [Gryllus pennsylvanicus],1.04E-33,Q9NAH4,39.31,1.00E-26,DENR_CAEEL,Density-regulated protein homolog,cel:Y47D3A.21,No_KEGGKO,GO:0003743,No_GOBP,translation initiation factor activity (GO:0003743);,No_GOCC,Complete proteome;Reference proteome.;,,,,,,,,,,,,,,,
contig96446,33496_denovo,contig96446,335,predicted protein [Nematostella vectensis] gi|156227195|gb|EDO48000.1| predicted protein [Nematostella vectensis],3.09E-18,"hCG38020, isoform CRA_b [Homo sapiens]",1.39E-10,Q1ED39,43,5.00E-12,CP088_HUMAN,Protein C16orf88,hsa:400506,No_KEGGKO,GO:0005730,No_GOBP,No_GOMF,nucleolus (GO:0005730);,Complete proteome;Nucleus;Phosphoprotein;Polymorphism;Reference proteome.;,,,,,,,,,,,,,,,
contig96990,33496_denovo,contig96990,505,predicted protein [Nematostella vectensis] gi|156223609|gb|EDO44442.1| predicted protein [Nematostella vectensis],1.66E-35,CN138 protein [Salmo salar] gi|209735404|gb|ACI68571.1| C14orf138 [Salmo salar],1.41E-26,Q9H867,45.7,1.00E-27,MT21D_HUMAN,Methyltransferase-like protein 21D,hsa:79609,No_KEGGKO,GO:0008168,No_GOBP,methyltransferase activity (GO:0008168);,No_GOCC,Alternative splicing;Complete proteome;Methyltransferase;Polymorphism;Reference proteome;S-adenosyl-L-methionine;Transferase.;,,,,,,,,,,,,,,,
contig98932,33496_denovo,contig98932,491,PREDICTED: ANKRD26 protein-like [Saccoglossus kowalevskii],7.45E-12,RecName: Full=Ankyrin repeat domain-containing protein 26,0.000115218,Q9UPS8,27.74,7.00E-06,ANR26_HUMAN,Ankyrin repeat domain-containing protein 26,hsa:22852,No_KEGGKO,GO:0005813,No_GOBP,No_GOMF,centrosome (GO:0005813);,Alternative splicing;ANK repeat;Coiled coil;Complete proteome;Phosphoprotein;Polymorphism;Reference proteome;Repeat.;,,,,,,,,,,,,,,,
contig99144,adi_v1_predictedtranscripts,adi_v1.01754,1959,ankyrin repeat and SOCS box protein 13 [Bos taurus] gi|297481603|ref|XP_002692217.1| PREDICTED: ankyrin repeat and SOCS box-containing 13-like [Bos taurus] gi|296481369|gb|DAA23484.1| ankyrin repeat and SOCS box-containing 13-like [Bos taurus],1.58E-28,ankyrin repeat and SOCS box protein 3 [Macaca mulatta],2.28E-27,Q08DV6,31.09,2.00E-28,ASB3_BOVIN,Ankyrin repeat and SOCS box protein 3,bta:540802,K10325,GO:0035556,intracellular signal transduction (GO:0035556);,No_GOMF,No_GOCC,ANK repeat;Complete proteome;Reference proteome;Repeat;Ubl conjugation pathway.;,,,,,,,,,,,,,,,
contig99363,adi_v1_predictedtranscripts,adi_v1.10899,1483,predicted protein [Nematostella vectensis] gi|156215860|gb|EDO36810.1| predicted protein [Nematostella vectensis],5.15E-34,predicted protein [Nematostella vectensis] gi|156215860|gb|EDO36810.1| predicted protein [Nematostella vectensis],5.15E-34,F6SAE9,25.1,1.00E-13,F6SAE9_CIOIN,Uncharacterized protein,No_KEGG,No_KEGGKO,GO:0005509,No_GOBP,calcium ion binding (GO:0005509);,No_GOCC,Calcium;Complete proteome;Reference proteome.;,,,,,,,,,,,,,,,
contig99679,adi_v1_predictedtranscripts,adi_v1.13373,1152,predicted protein [Nematostella vectensis] gi|156225213|gb|EDO46032.1| predicted protein [Nematostella vectensis],6.73E-49,novel protein [Danio rerio] gi|220673133|emb|CAX12195.1| novel protein [Danio rerio],1.91E-19,Q8C6J9,33.67,1.00E-05,NAL4B_MOUSE,"NACHT, LRR and PYD domains-containing protein 4B",mmu:210045,No_KEGGKO,GO:0005524,No_GOBP,ATP binding (GO:0005524);,No_GOCC,ATP-binding;Complete proteome;Leucine-rich repeat;Nucleotide-binding;Reference proteome;Repeat.;,,,,,,,,,,,,,,,
contig104291,adi_v1_predictedtranscripts,adi_v1.07828,1909,predicted protein [Nematostella vectensis] gi|156227195|gb|EDO48000.1| predicted protein [Nematostella vectensis],3.53E-17,"hCG38020, isoform CRA_b [Homo sapiens]",4.18E-10,Q1ED39,44,2.00E-11,CP088_HUMAN,Protein C16orf88,hsa:400506,No_KEGGKO,GO:0005730,No_GOBP,No_GOMF,nucleolus (GO:0005730);,Complete proteome;Nucleus;Phosphoprotein;Polymorphism;Reference proteome.;,,,,,,,,,,,,,,,
contig104454,adi_v1_predictedtranscripts,adi_v1.15279,4607,predicted protein [Nematostella vectensis] gi|156214378|gb|EDO35368.1| predicted protein [Nematostella vectensis],6.32E-77,la-related protein 1 [Mus musculus],1.97E-70,Q6ZQ58,68.33,9.00E-72,LARP1_MOUSE,La-related protein 1,No_KEGG,No_KEGGKO,GO:0003723,No_GOBP,RNA binding (GO:0003723);,No_GOCC,Acetylation;Alternative splicing;Complete proteome;Phosphoprotein;Reference proteome;RNA-binding.;,,,,,,,,,,,,,,,
contig104551,adi_v1_predictedtranscripts,adi_v1.21871,557,predicted protein [Nematostella vectensis] gi|156215860|gb|EDO36810.1| predicted protein [Nematostella vectensis],8.97E-37,predicted protein [Nematostella vectensis] gi|156215860|gb|EDO36810.1| predicted protein [Nematostella vectensis],8.97E-37,F6SAE9,31.85,2.00E-15,F6SAE9_CIOIN,Uncharacterized protein,No_KEGG,No_KEGGKO,GO:0005509,No_GOBP,calcium ion binding (GO:0005509);,No_GOCC,Calcium;Complete proteome;Reference proteome.;,,,,,,,,,,,,,,,
contig104920,33496_denovo,contig104920,516,predicted protein [Nematostella vectensis] gi|156222953|gb|EDO43792.1| predicted protein [Nematostella vectensis],9.54E-26,"PHD finger protein 14, isoform CRA_a [Homo sapiens]",8.09E-17,O94880,35.71,5.00E-18,PHF14_HUMAN,PHD finger protein 14,hsa:9678,No_KEGGKO,GO:0008270,No_GOBP,zinc ion binding (GO:0008270);,No_GOCC,Alternative splicing;Complete proteome;Metal-binding;Phosphoprotein;Polymorphism;Reference proteome;Repeat;Zinc;Zinc-finger.;,,,,,,,,,,,,,,,
contig105387,Matz_milleporaESTs,isotig03085,977,predicted protein [Nematostella vectensis] gi|156225380|gb|EDO46198.1| predicted protein [Nematostella vectensis],5.46E-14,thymopoietin [Danio rerio],7.90E-05,B3RIA0,35.14,3.00E-05,B3RIA0_TRIAD,Putative uncharacterized protein,tad:TRIADDRAFT_52400,No_KEGGKO,GO:0005635,No_GOBP,No_GOMF,nuclear envelope (GO:0005635);,No_keywords,,,,,,,,,,,,,,,
contig105743,adi_v1_predictedtranscripts,adi_v1.06504,1297,predicted protein [Nematostella vectensis] gi|156225115|gb|EDO45935.1| predicted protein [Nematostella vectensis],2.04E-36,Calmodulin [Lepeophtheirus salmonis],9.19E-29,P14533,48.53,4.00E-30,CABO_LOLPE,Squidulin,No_KEGG,No_KEGGKO,GO:0005509,No_GOBP,calcium ion binding (GO:0005509);,No_GOCC,Acetylation;Calcium;Direct protein sequencing;Repeat.;,,,,,,,,,,,,,,,
contig105765,adi_v1_predictedtranscripts,adi_v1.16777,3042,predicted protein [Nematostella vectensis] gi|156224538|gb|EDO45363.1| predicted protein [Nematostella vectensis],1.04E-08,predicted protein [Nematostella vectensis] gi|156224538|gb|EDO45363.1| predicted protein [Nematostella vectensis],1.04E-08,P32583,23.01,3.00E-05,SRP40_YEAST,Suppressor protein SRP40,sce:YKR092C,No_KEGGKO,GO:0005730,No_GOBP,No_GOMF,nucleolus (GO:0005730);,Complete proteome;Phosphoprotein;Reference proteome.;,,,,,,,,,,,,,,,
contig106269,adi_v1_predictedtranscripts,adi_v1.16451,2456,predicted protein [Nematostella vectensis] gi|156219329|gb|EDO40213.1| predicted protein [Nematostella vectensis],2.20E-38,glioma tumor suppressor candidate region gene 2 protein [Danio rerio] gi|81097776|gb|AAI09457.1| Zgc:123178 [Danio rerio],4.04E-16,Q9NZM5,54.17,6.00E-15,GSCR2_HUMAN,Glioma tumor suppressor candidate region gene 2 protein,hsa:29997,K14840,GO:0005730,No_GOBP,No_GOMF,nucleolus (GO:0005730);,Acetylation;Complete proteome;Nucleus;Polymorphism;Reference proteome.;,,,,,,,,,,,,,,,
contig106896,adi_v1_predictedtranscripts,adi_v1.01844,1125,predicted protein [Nematostella vectensis] gi|156219074|gb|EDO39961.1| predicted protein [Nematostella vectensis],2.92E-49,H326 variant [Homo sapiens],1.56E-34,Q5R448,58.14,4.00E-36,DCAF8_PONAB,DDB1- and CUL4-associated factor 8,pon:100174058,K11804,GO:0080008,No_GOBP,No_GOMF,CUL4 RING ubiquitin ligase complex (GO:0080008);,Phosphoprotein;Repeat;Ubl conjugation pathway;WD repeat.;,,,,,,,,,,,,,,,
contig106976,adi_v1_predictedtranscripts,adi_v1.20916,1281,predicted protein [Nematostella vectensis] gi|156227543|gb|EDO48346.1| predicted protein [Nematostella vectensis],8.75E-24,TRP gamma [Tribolium castaneum],2.73E-17,O62852,26.04,8.00E-16,TRPC5_RABIT,Short transient receptor potential channel 5,No_KEGG,No_KEGGKO,GO:0005262,No_GOBP,calcium channel activity (GO:0005262);,No_GOCC,ANK repeat;Calcium;Calcium channel;Calcium transport;Complete proteome;Glycoprotein;Ion transport;Ionic channel;Membrane;Repeat;Transmembrane;Transmembrane helix;Transport.;,,,,,,,,,,,,,,,
contig107099,adi_v1_predictedtranscripts,adi_v1.22279,2319,predicted protein [Nematostella vectensis] gi|156228167|gb|EDO48967.1| predicted protein [Nematostella vectensis],3.99E-74,Ankib1 protein [Mus musculus] gi|219841810|gb|AAI45512.1| Ankib1 protein [Mus musculus],2.27E-61,Q6ZPS6,40.24,1.00E-62,AKIB1_MOUSE,Ankyrin repeat and IBR domain-containing protein 1,mmu:70797,K11967,GO:0008270,No_GOBP,zinc ion binding (GO:0008270);,No_GOCC,ANK repeat;Coiled coil;Complete proteome;Lipoprotein;Metal-binding;Myristate;Phosphoprotein;Reference proteome;Repeat;Zinc;Zinc-finger.;,,,,,,,,,,,,,,,
contig107249,adi_v1_predictedtranscripts,adi_v1.00027,5845,predicted protein [Nematostella vectensis] gi|156220632|gb|EDO41498.1| predicted protein [Nematostella vectensis],9.42E-134,"myosin, heavy polypeptide 10, non-muscle, isoform CRA_b [Rattus norvegicus]",5.72E-14,A9CB34,19.17,3.00E-11,SFI1_PAPAN,Protein SFI1 homolog,No_KEGG,No_KEGGKO,GO:0005814,No_GOBP,No_GOMF,centriole (GO:0005814);,Cytoplasm;Cytoskeleton;Repeat.;,,,,,,,,,,,,,,,
contig108075,adi_v1_predictedtranscripts,adi_v1.21398,1672,PRKR-interacting protein 1 homolog [Xenopus laevis] gi|82184218|sp|Q6GNG8.1|PKRI1_XENLA RecName: Full=PRKR-interacting protein 1 homolog gi|49115804|gb|AAH73544.1| MGC82814 protein [Xenopus laevis],9.96E-29,PRKR-interacting protein 1 homolog [Xenopus laevis] gi|82184218|sp|Q6GNG8.1|PKRI1_XENLA RecName: Full=PRKR-interacting protein 1 homolog gi|49115804|gb|AAH73544.1| MGC82814 protein [Xenopus laevis],9.96E-29,Q6GNG8,58.33,5.00E-30,PKRI1_XENLA,PRKR-interacting protein 1 homolog,xla:444352,No_KEGGKO,GO:0005730,No_GOBP,No_GOMF,nucleolus (GO:0005730);,Coiled coil;Nucleus.;,,,,,,,,,,,,,,,
contig110486,adi_v1_predictedtranscripts,adi_v1.15973,3376,predicted protein [Nematostella vectensis] gi|156227780|gb|EDO48582.1| predicted protein [Nematostella vectensis],0,"GH26184p [Brugia malayi] gi|158594977|gb|EDP33554.1| GH26184p, putative [Brugia malayi]",1.81E-25,P34284,22.66,2.00E-14,YKK7_CAEEL,Uncharacterized F-box/LRR-repeat protein C02F5.7,cel:C02F5.7,K10268,GO:0071688,striated muscle myosin thick filament assembly (GO:0071688);,No_GOMF,No_GOCC,Alternative splicing;Complete proteome;Leucine-rich repeat;Reference proteome;Repeat;Ubl conjugation pathway.;,,,,,,,,,,,,,,,
contig113697,Oz_millESTs,mge-C014-C3-pre18_T3.seq,972,PREDICTED: similar to calretinin [Ornithorhynchus anatinus],1.50E-56,putative calretinin [Taeniopygia guttata] gi|197127685|gb|ACH44183.1| putative calretinin [Taeniopygia guttata],1.66E-55,P07090,45.66,1.00E-56,CALB2_CHICK,Calretinin,gga:396255,No_KEGGKO,GO:0005509,No_GOBP,calcium ion binding (GO:0005509);,No_GOCC,Calcium;Complete proteome;Reference proteome;Repeat.;,,,,,,,,,,,,,,,
contig114223,adi_v1_predictedtranscripts,adi_v1.20262,754,predicted protein [Nematostella vectensis] gi|156228761|gb|EDO49559.1| predicted protein [Nematostella vectensis],6.90E-15,predicted protein [Nematostella vectensis] gi|156228761|gb|EDO49559.1| predicted protein [Nematostella vectensis],6.90E-15,Q15061,29.46,2.00E-05,WDR43_HUMAN,WD repeat-containing protein 43,hsa:23160,K14546,GO:0005730,No_GOBP,No_GOMF,nucleolus (GO:0005730);,Complete proteome;Nucleus;Phosphoprotein;Reference proteome;Repeat;WD repeat.;,,,,,,,,,,,,,,,
contig118128,adi_v1_predictedtranscripts,adi_v1.09262,2165,PREDICTED: notchless protein homolog 1 [Macaca mulatta],1.30E-63,Notchless protein homolog 1 [Salmo salar],1.45E-54,Q58D20,53.26,2.00E-55,NLE1_BOVIN,Notchless protein homolog 1,bta:509793,K14855,GO:0005730,No_GOBP,No_GOMF,nucleolus (GO:0005730);,Acetylation;Complete proteome;Nucleus;Phosphoprotein;Reference proteome;Repeat;WD repeat.;,,,,,,,,,,,,,,,
contig130928,adi_v1_predictedtranscripts,adi_v1.20962,949,PREDICTED: similar to LMBR2 [Gallus gallus],4.18E-72,PREDICTED: similar to LMBR2 [Gallus gallus],4.18E-72,Q9JIT1,51.79,1.00E-63,RNF32_MOUSE,RING finger protein 32,mmu:56874,No_KEGGKO,GO:0008270,No_GOBP,zinc ion binding (GO:0008270);,No_GOCC,Complete proteome;Cytoplasm;Metal-binding;Reference proteome;Repeat;Zinc;Zinc-finger.;,,,,,,,,,,,,,,,
contig146669,adi_v1_predictedtranscripts,adi_v1.11201,1636,hypothetical protein BRAFLDRAFT_288055 [Branchiostoma floridae] gi|229291546|gb|EEN62216.1| hypothetical protein BRAFLDRAFT_288055 [Branchiostoma floridae],1.44E-16,Leucine-rich repeat flightless-interacting protein 2 [Acromyrmex echinatior],6.07E-15,Q4V7E8,60.87,5.00E-15,LRRF2_RAT,Leucine-rich repeat flightless-interacting protein 2,rno:301035,No_KEGGKO,GO:0016055,Wnt receptor signaling pathway (GO:0016055);,No_GOMF,No_GOCC,Coiled coil;Complete proteome;Phosphoprotein;Reference proteome;Wnt signaling pathway.;,,,,,,,,,,,,,,,
contig146818,33496_denovo,contig146818,636,hypothetical protein BRAFLDRAFT_277116 [Branchiostoma floridae] gi|229278561|gb|EEN49348.1| hypothetical protein BRAFLDRAFT_277116 [Branchiostoma floridae],1.95E-24,mediator of RNA polymerase II transcription subunit 14 [Bos taurus],8.18E-23,A2ABV5,41.18,4.00E-24,MED14_MOUSE,Mediator of RNA polymerase II transcription subunit 14,mmu:26896,K15156,GO:0016592,No_GOBP,No_GOMF,mediator complex (GO:0016592);,Activator;Alternative splicing;Complete proteome;Nucleus;Phosphoprotein;Reference proteome;Repeat;Transcription;Transcription regulation.;,,,,,,,,,,,,,,,
contig146898,adi_v1_predictedtranscripts,adi_v1.15279,4607,predicted protein [Nematostella vectensis] gi|156214378|gb|EDO35368.1| predicted protein [Nematostella vectensis],6.32E-77,la-related protein 1 [Mus musculus],1.97E-70,Q6ZQ58,68.33,9.00E-72,LARP1_MOUSE,La-related protein 1,No_KEGG,No_KEGGKO,GO:0003723,No_GOBP,RNA binding (GO:0003723);,No_GOCC,Acetylation;Alternative splicing;Complete proteome;Phosphoprotein;Reference proteome;RNA-binding.;,,,,,,,,,,,,,,,
contig146967,33496_denovo,contig146967,897,hypothetical protein NEMVEDRAFT_v1g248208 [Nematostella vectensis] gi|156209653|gb|EDO30907.1| predicted protein [Nematostella vectensis],1.07E-74,vacuolar protein sorting 13 homolog B [synthetic construct],4.23E-47,Q7Z7G8,53.5,2.00E-48,VP13B_HUMAN,Vacuolar protein sorting-associated protein 13B,hsa:157680,No_KEGGKO,GO:0015031,protein transport (GO:0015031);,No_GOMF,No_GOCC,Alternative splicing;Complete proteome;Disease mutation;Obesity;Phosphoprotein;Polymorphism;Protein transport;Reference proteome;Transport.;,,,,,,,,,,,,,,,
